INTL_20160425_000016	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加20%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160326_000005	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以同时学习多达2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl}(与EXP图腾的效果叠加){nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160425_000017	为服务器内所有角色赋予代币的好处,持续30天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多30次{nl} - 额外进入1个任务和地下城实例	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	ETC_20160320_021192	为服务器内所有角色赋予代币的好处，持续30天。右键点击使用。{nl}[代币的好处]{nl} - 可以同时学习多达2个属性{nl} - 市场佣金减少（30% {img white_right_arrow 16 16} 10%）{nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl}(与EXP图腾的效果叠加){nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多30次{nl} - 额外进入1个任务和地下城实例	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160425_000018	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次{nl} - 额外进入1个任务和地下城实例	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	ETC_20160320_021194	为服务器内所有角色赋予代币的好处，持续30天。右键点击使用。{nl}[代币的好处]{nl} - 可以同时学习多达2个属性{nl} - 市场佣金减少（30% {img white_right_arrow 16 16} 10%）{nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl}(与EXP图腾的效果叠加){nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次{nl} - 额外进入1个任务和地下城实例	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160426_000019	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以同时学习多达2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl}(与EXP图腾的效果叠加){nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	INTL_20160425_000016	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加20%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160426_000020	为服务器内所有角色赋予代币的好处,持续30天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达10个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多30次{nl} - 额外的副本进入机会(任务和地下城)	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	INTL_20160425_000017	为服务器内所有角色赋予代币的好处,持续30天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多30次{nl} - 额外的副本进入机会(任务和地下城)	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
INTL_20160426_000021	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以同时学习多达2个属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达10个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl}(与经验之书效果叠加){nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次{nl} - 额外的副本进入机会(任务和地下城)	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	INTL_20160425_000018	为服务器内所有角色赋予代币的好处,持续60天.右键点击使用.{nl}[代币的好处]{nl} - 可以瞬间学习属性{nl} - 市场佣金减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上列出多达5个物品{nl} - 角色移动速度增加3{nl} - 狩猎怪物时EXP增加30%{nl} - 可以使用高级手势{nl} - 最大BUFF数量增加{nl} - 可以使用个人交易最多60次{nl} - 额外的副本进入机会(任务和地下城)	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 5개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 추가 1회 추가입장	
INTL_20160512_000022	使用后可获得以下物品:{nl} - 190 TP{nl} - 代币:15天{nl} - 20个高浓度HP&SP药水{nl} - 15个灵魂晶石{nl} - 15个扩音器{nl} - 15个传送卷轴{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 190 TP{nl} - 토큰 - 증정용 (15일){nl} - 고농축 HP/SP포션 20개{nl} - 소울크리스탈 15개{nl} - 확성기 15개{nl} - 워프주문서 15개{nl}				
INTL_20160512_000023	用于获取190 TP.	사용 시 190 TP를 획득합니다.				
INTL_20160512_000024	使用后可获得以下物品:{nl} - 代币:30天{nl} - 4个附魔卷轴{nl} - 5个副本地下城重置券{nl}	마우스 우클릭 시 사용되며 구성물을 획득할 수 있습니다.{nl} - 토큰 (30일){nl} - 마법 부여 스크롤 X 4{nl} - 인던 입장 횟수 초기화권 X 5{nl}				
INTL_20160728_000025	为服务器中所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 角色移动速度增加+3{nl} - 猎杀怪物获得的经验值增加+30%{nl} - 可以使用高级表情动作{nl} - 增加最大BUFF数量{nl} - 可以使用个人交易,最多30次{nl} - 额外的任务和地下城进入次数+1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 스킬 2개 동시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장				
INTL_20160728_000026	为服务器中所有角色应用代币福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 角色移动速度增加+3{nl} - 猎杀怪物获得的经验值增加+30%{nl} - 可以使用高级表情动作{nl} - 增加最大BUFF数量{nl} - 可以使用个人交易,最多60次{nl} - 额外的任务和地下城进入次数+1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능{nl} - 미션,던전 1회 추가입장	INTL_20160426_000019	授予服务器中所有角色代币福利,持续60天.右键点击使用.{nl}[代币福利]{nl} - 可以同时学习最多2个属性{nl} - 市场佣金费用减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多5个物品{nl} - 角色移动速度增加+3{nl} - 猎杀怪物获得的经验值增加+30%{nl}(与EXP图腾效果叠加){nl} - 可以使用高级表情动作{nl} - 增加最大BUFF数量{nl} - 可以使用个人交易,最多60次{nl}	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 60일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +20% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 60회 가능	
INTL_20160728_000027	为服务器中所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 角色移动速度增加+3{nl} - 猎杀怪物获得的经验值增加+30%{nl} - 可以使用高级表情动作{nl} - 增加最大BUFF数量{nl} - 可以使用个人交易,最多30次{nl} - 额外的任务和地下城进入次数+1	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 미션,던전 1회 추가입장	INTL_20160426_000020	为服务器中所有角色应用代币福利,持续30天.右键点击使用.{nl}[代币福利]{nl} - 可以瞬间学习属性{nl} - 市场佣金费用减少(30% {img white_right_arrow 16 16} 10%){nl} - 可以在市场上架最多10个物品{nl} - 角色移动速度增加+3{nl} - 猎杀怪物获得的经验值增加+30%{nl} - 可以使用高级表情动作{nl} - 增加最大BUFF数量{nl} - 可以使用个人交易,最多30次{nl} - 额外进入1个任务和地下城实例	마우스 우클릭 시 사용되며 서버 내 모든 캐릭터에 사용 시점으로부터 30일간 혜택이 적용됩니다.{nl}[토큰 효과]{nl} - 특성 즉시 수련 가능{nl} - 마켓 판매 수수료율 감소(30%{img white_right_arrow 16 16}10%){nl} - 마켓 판매 등록 아이템 개수 9개{nl} - 캐릭터 이동속도 +3 증가{nl} - 몬스터 처치 시 경험치 +30% 증가{nl}(PC방 혜택, 경험의 서 효과와 중첩 가능){nl} - 프리미엄 제스쳐 사용 가능{nl} - 최대 버프 적용 개수 증가{nl} - 개인 거래 30회 가능{nl} - 개인 거래 횟수 30회{nl} - 미션,던전 1회 추가입장	
